,Sentence,Target
1804,"This witness further related that appellant brought some shotgun shells and cigarettes to his place of business some time during August, 1961.",Facts
1463,The disposition of this case on appeal is made solely on the basis of a plea of not guilty.,Others
1091,"It was further shown by the record that the court inquired of the jury for the first time at approximately 10:15 P.M. on Saturday, October 8, 1960, what their sentiments were at arriving at a verdict and that the foreman replied: â€œYour Honor, we are deadlocked 11 to 1; we have been deadlocked 11 to 1 for several hours.",Facts
600,An examination of the record discloses that it does not contain a judgment of conviction.,Facts
1397,"The appellant did not testify or offer any testimony, and no brief has been filed in his behalf.",Facts
2975,We have again reviewed the record in the light of appellantâ€™s,Analysis
3121,"Bill of exception No. 5, which was approved by the court, complains of the following argument:",Invalid
211,INDICTMENTS DISMISSED WITHOUT PREJUDICE.,Others
1309,"Since there is no showing that appellant agreed to the discharge of the jury, it will be assumed that he did not.",Others
986,I left and came back and he was still there.,Facts
965,"His confession recites that he was sleeping in the front bedroom at 1520 Weber Street on the night in question, that he heard an argument between his father and the man who was later killed, that they both went around the corner onto Johnson Street, that he put on his pants and followed them and there found his father lying face down in the street.",Facts
2883,The remaining claim for reversal is the contention that the court erred in overruling appellantâ€™s motion for new trial based upon the fact that a member of the jury separated from other jurors and visited the drug store during the trial.,Issue
2128,"R. 12, 266 S.W. 2d 124, we said: â€œRegardless of the previous holding of this Court upon the question, it appears that the instant case is controlled by the case of Gibson v State, 153 Tex. Cr.",Invalid
1004,"In Ex Parte Coleman, 245 S.W. 2d 712, it was held that under",Invalid
1088,It was agreed and stipulated â€œthat at the time the district attorney asked said question he knew that defendant was under certain indictments and had certified copies of such indictments; and that to his knowledge defendant had not been convicted of any felony.â€,Facts
1174,"Officer Chumley testified that when he arrived at the scene the appellant handed him a butcher knife and said to him, â€œIâ€™ve gone and messed up.",Facts
2533,"State, 25 Tex. App. 614, 8 S.W. 925, this court, in passing upon the trial courtâ€™s failure to instruct the jury as to the purpose for which certain testimony was admitted in the cause, said:",Invalid
240,"only with narrow specificity.""",Invalid
1134,"Mrs. Moosberg, the prosecutrix, testified that on the night of June 15, 1960, she had been visiting friends and was returning home alone in her automobile about 1:00 A.M.; that appellant drove his automobile up beside her, forcing her off the road; that she tried to back away but lost control and her automobile ended up crossways of the road; that she had the doors of her automobile locked and the windows up; that appellant approached the driverâ€™s side and smashed his fist through the window; that she fled through the right hand door of the automobile and ran up the road, losing her shoes and purse; that she looked back and saw appellant pushing her car by hand from the roadway into a ten-foot deep ditch; that appellant got into his own automobile, overtook her, and forced her into his car; that he made her wipe blood from cuts on his right arm and hand; that he demanded",Facts
1362,"The Appellants left the premises the next morning, and Ruby Bickmore remained on the bed in her room all day long.",Facts
2151,The sentence was suspended by the court and appellant placed upon probation for a period of one year upon certain terms and conditions.,Facts
2528,Appellant testified that before he was arrested he had been to a theatre; that after he came out â€œtwo guys started walking by meand that the reason he ran from the officers was because Officer Gilbert tried to run over him.,Facts
2684,I respectfully dissent.,Analysis
989,I see no possible chance of this jury reaching a verdict.â€,Facts
2759,"On September 16, 1960, application for revocation was filed, alleging that on said day he did make an assault on Charles Hight and also that he committed an aggravated assault upon Morgan Fuller, who was a constable in the lawful discharge of the duties of his office.",Issue
3366,The questions were not so framed as to infer as a fact,Invalid
3171,I also on this same night had a small plastic tube which I inserted in * * * of Mike and then I pulled it out.,Facts
3257,"R. 436, 307 S.W. 2d 948, we held that an unfinished area of a freeway being used by the public in general, though not designated and opened by the city, was a public highway within the meaning of Art. 802 V.A.P.C.",Invalid
2436,"The evidence is sufficient to support the conviction and no error appearing, the judgment is affirmed",Conclusion
2263,He further contends that the issue of his guilt was submitted to the jury upon two separate factual theories; that the jury returned a general verdict of guilty; and that there was no way of ascertaining upon which one of the two theories the jury found him guilty.,Issue
206,"The record on appeal does not disclose the contents of the discussion held off the record, or the circumstances attendant to that discussion.",Others
1401,"The appellant, according to the testimony of the Lucios, had come with them from the Pan-American Night Club where he and Mary Lou had been dancing and drinking.",Facts
2524,O. Canadian Whiskey which he had opened and was attempting to pour the contents on the ground.,Invalid
900,Hartwell testified that he was beaten into unconsciousness by means of the flexible cable.,Facts
2343,"Included in the prison records were certified copies of the indictment, judgment, and sentence in Cause No. 61808, Styled The State of Texas v. Marion Todd, on the docket of Criminal District Court No. 2 of Harris County which showed that on October 17, 1949, the defendant therein was convicted in said court of the offense of burglary and certified copies of the indictment, judgment, and sentence in Cause No. 70168, styled The State of Texas v. Marion Earl Todd, on the docket of Criminal District Court No. 3 of Harris County which showed that on November 3, 1953, the defendant therein was convicted in said court of the offense of felony theft.",Rule/Law/Holding
3116,"As to the case at bar, the caption of the act gives notice that the purpose of the proposed enactment was to add a new article, define the offense, fix a penalty, provide for subsequent convictions, and for a conviction for desertion by leaving the state.",Rule/Law/Holding
1049,"In the latter case we said that the inquiry â€œ* *â€¢* is not whether there is in the indictment such specific allegation of the details of the charge as would make it good on demurrer, but whether the indictment describes a class of offense of which the court has jurisdiction and alleges the defendant to be guilty.â€",Rule/Law/Holding
1773,"They were considering going to the Casa Blanca but appellant declined and Mary Lou, who had been walking behind with appellant, left him and joined her brother and sister-in-law and walked to the bus stop.",Facts
104,The government maintains that the indictments should not be dismissed because of two off-the-record discussions in the absence of a showing as to the nature of the discussions and prejudice accruing to the appellants.,Analysis
1819,Tommy Box died several days later from gunshot wounds in the head and neck.,Facts
3138,"Dr. Mason, Director of the Dallas City-County Criminal Investigation Laboratory, testified without objection that an analysis run at the Laboratory revealed that intoximeter test No. 443, identified also by information on the slip sealing it with the name of appellant and of Officers Holcomb, Jackson and Knowles, showed .208 percent alcohol concentration in the blood.",Facts
2564,Any claims of error for want of proper service became a nullity when the surities appeared in person and by counsel in open court upon the call of this cause and announced ready for.,Analysis
3155,"Furthermore, appellant admitted possession of the wine, by his own testimony.",Facts
2453,"No statement of facts accompanies the record, in the absence",Invalid
651,Appellant first contends that his arrest was illegal.,Issue
1075,It is contended that the court erred in refusing to declare a mistrial after he had stated to the jury that they must observe the courtâ€™s admonitions,Invalid
777,"B. Jones, who was visiting at the fire station, followed the appellant, and Captain Kent and other firemen went to Cheto and found that he was dead.",Facts
2986,When Dr. Mason was asked to read it before the jury appellantâ€™s objection: â€œI would like to have a predicate laid for thisâ€ was sustained.,Facts
194,"With the reestablishment of petitioners' rights to participate in the Halfway House Correctional Work-Release Program, the",Invalid
3379,The sole point of contention raised by appellant is the sufficiency of the evidence to sustain the conviction.,Issue
1080,"It is his contention that in the case at bar, at most, the State made out a case of bringing on a premature birth.",Issue
509,"441, 358 S.W. 2d 386, and the cases there cited, we held that it was error for the trial court to refuse examination of prior written statements made by a witness for the purpose of cross-examination but that the burden is upon appellant to preserve such error and, if so preserved, this Court will determine whether or not it constitutes grounds for a reversal of the conviction after we have examined the written statement and the testimony of the witness.",Invalid
2144,"You canâ€™t display that to the jury; how about the bruises in that picture, do you remember seeing those bruises like that when you put her on the bed or when the police came?",Facts
2220,One may not permit an objectionable question to be asked and speculate as to its answer before objection.,Rule/Law/Holding
1286,She said that Jo Ann lay across the bed and after Jo Ann had taken off her panties he took the catheter and appeared to be â€œpushing some kind of a liquor up inside of herâ€.,Facts
1013,"In appellantâ€™s written statement made to Sheriff Cumbie,",Invalid
1568,"The offense is possession of wine for the purpose of sale in a dry area, two prior convictions being alleged for enhancement of punishment; the punishment assessed by the jury, six months in jail and a fine of $400.",Rule/Law/Holding
151,"In re Grand Jury Investigation, 32 F.R.D.",Rule/Law/Holding
2859,The only content of the report which could be said to contradict appellant and sustain Dr. Gibbons and the record he made and testified from is that relating to the antiseptic used to cleanse the arm.,Analysis
9,He admits that he personally applied for the telephone on the company's behalf and he asserts that he cancelled the phone when leaving two months later.,Facts
2955,"Under the record, with entrapment interposed as a defense, the evidence of prior sales of heroin by appellant to the witness, although extraneous offenses, was admissible on the issue of her intent.",Issue
345,"On July 14, 1972, the United States Marshal for the Territory of Guam issued his Notice of Levying on Real Property, and filed the same with the Department of Land Management, Government of Guam, under document No. 114073, on the same date.",Facts
144,"The defendant interposed as a defense to the granting of such a motion that Â§139 of the Civil Code which provides for the payment of child support by fathers, but not by mothers, is a violation of equal protection of the law on the basis of sex.",Rule/Law/Holding
2146,This is an appeal from an order entered in a habeas corpus proceeding remanding appellant to custody for extradition to the State of Louisiana.,Facts
2616,"B. Shapiro filed a verified answer and denial in this cause on October 24, 1959.",Facts
3462,"When asked if he was shooting at Jimmy Ann Davis, appellant replied, “Yes sir.",Facts
2702,"In view of appellantâ€™s testimony and the testimony of Dr. Gibbons, we overrule appellantâ€™s contention that the admission of Dr. Masonâ€™s testimony was reversible error.",Conclusion
405,"The Government further asserts that ""these are not necessarily the exclusive public interests which the statute was enacted to protect..."", but rather, ""... it is possible that the Legislature formulated additional reasons for enacting the statute,"" (emphasis ours.)",Issue
2177,"Sheriff Holts, who saw appellant after his arrest testified that he smelled â€œsome kind of strong alcohol on his breath--I was talking to the man and I had to run out of the way to keep him from urping on me in the officeâ€; that â€œhe was to far gone, he was far from being on the border line.",Facts
3263,"Scire facias, the citation, was issued and served on the sureties pursuant to the judgment nisi entered in Criminal District Court No. 2 of Tarrant County.",Facts
2934,This automobile was borrowed by James Lyles.,Facts
2071,â€œYou got these shells from the Harris County Sheriffâ€™s office?â€,Facts
3189,"In his motion for new trial, appellant complains of the court’s action is not granting him a continuance and in overruling his motion to hear the testimony of the witnesses for the state and then adjourn the trial of the case until the defense witnesses could be present in court.",Issue
981,I concur in the affirmance of the conviction.,Conclusion
1156,Not so in the case at bar.,Others
1783,"This has not been the rule in Texas since 1925 because in that year the Legislature enacted Article 727a, V.A.C.C.P., and made it clear that the",Invalid
1423,"The complaint, information and judgment in said numbered cause, in the County Court of Parker County, were introduced.",Facts
1516,The judgment is reversed and the cause is remanded.,Conclusion
711,Appellant was not present.,Facts
1379,"The Stateâ€™s testimony shows that on the day in question, an automobile in which appellant and his two companions, Billy J. Matthews and William H. Vaughn, were traveling, collided with a Chevrolet automobile around 6 P.M. at the intersection of Westmoreland and Ledbetter streets in the city of Dallas.",Facts
2195,"The evidence is undisputed that on February 20,1960, in Harris County, the appellant shot and killed the deceased, Leona Pearl Sawyer, with whom he had been living for approximately three years.",Facts
438,The Court finds Â§17402 of the Government Code of Guam to be an unconstitutional infringement upon a citizen's First Amendment right to freedom of speech.,Conclusion
1026,"In refusing to give the charge on circumstantial evidence, the court fell into error.",Others
3125,"But, a search of the record fails to reveal anything authorizing a review of such contentions.",Analysis
963,"Hill Hutson, who lived about 100 yards from a cedar post yard in Comal County, owned by Lem Calhoun and operated by Harden Wallace, saw two pickup trucks in the cedar yard about midnight.",Facts
452,The motion to dismiss as to these counts is therefore DENIED.,Conclusion
3023,"222, Regular Session of the 56th Legislature, page 504.",Invalid
2692,"In proof of the prior conviction alleged, the state offered in evidence certified copies of an indictment, judgment, and sentence in Cause No. 5466, styled The State of Texas v. Bobby Welch on the docket of the district court of Palo Pinto County, which showed that on July 30, 1957, the defendant named therein was convicted of the offense of theft of an automobile of over the value of $50.",Facts
2495,"E. Fields, surities on a habeas corpus bond wherein Tennyson Searcy is principal, from the final judgment of Criminal District Court No. 2, of Dallas County, forfeiting said bond.",Others
1756,"Thereupon, the jury was retired and in their absence appellant offered in evidence a certified copy of an indictment which charged Sullivan as an accessory after the fact to the offense of murder for which appellant was on trial.",Facts
1501,The indictment alleged the voluntary killing with malice aforethought of Tommy Box by shooting him with a gun.,Issue
1498,"The holding was that such testimony and argument offended the rule that whether warned or not, the silence of the defendant while under arrest cannot be used against him as a confession of the truth of statements made in his presence by his codefendants or anybody else.",Rule/Law/Holding
1580,The officer further testified that they found a large amount of medical instruments and material.,Facts
226,"As to the issue of hearsay, the Court finds these documents to be non-hearsay.",Issue
2877,The record reflects no formal bill nor informal bill of exception.,Facts
746,"Art. 414, V.A.C.C.P., prescribes the requisites of an information and in subdivision 3 provides â€œThat it appear to have been presented by the proper officer.â€",Invalid
2701,"In this connection we direct attention to the fact that the blood was extracted in the Emergency Room from appellant who desired a test, and was taken from the locked box in the Emergency Labratory some 30 or 40 feet from where it was extracted and tested.",Analysis
2617,"Be that as it may, while Montello may be regarded as authority for the proposition that it is knowledge that we have in Texas a board of pardons and paroles and that, together with the Governor, they exercise the power vested in them to grant clemency in the matter of pardons and paroles and commutation of punishment, such â€œcommon knowledgeâ€ must be correct as a matter of law in order to be properly employed by a jury in reaching a verdict.",Analysis
1023,In order to constitute a threat under Arts.,Invalid
2391,Did Louise Fryer say anything?,Facts
1703,"The trial court properly overruled appellantâ€™s request that the evidence relating to the search be discarded because he was under arrest and, therefore, incapable of giving his permission for a search of his home.",Facts
2429,The evidence shows that Fred C. Edens was city manager for Hertz Rent-A-Car agency in El Paso.,Facts
735,"Appellantâ€™s first ground for reversal relates to defects and irregularities in the county court judgment, one of which was that the judgment ordered that the defendantâ€™s driverâ€™s license be suspended for 12 months, whereas the statutes provide for an automatic suspension of 6 months.",Issue
8,The Court finds his liability extended only to the period of time he was employed as a broker for Pacific Realty Company.,Facts
1485,The fact that the trial judge sustained objection and instructed the jury to disregard a comment upon the defendantâ€™s failure to testify did not cure the error.,Analysis
488,* * * A variance in names so trifling that it is inconceivable that defendant could have been misled or prejudiced thereby is immaterial.,Analysis
1949,"When the appellant denied that he had, an officer was then allowed to testify, over objection that the offenses inquired about did not involve moral turpitude, that he had arrested appellant or had been in company with others who arrested appellant on three or four occasions, and that he had pleaded guilty to vagrancy under an assumed name.",Facts
2990,"While Robert and the deceased exchanged blows, Robert placed the money in his left coat pocket which the deceased tore off, but Robert did not see the money fall out.",Facts
2088,Appellant complains of Officer Geffertâ€™s testimony that while they were in the room where the barbituates were found appellant stated it was his room.,Facts
792,Both were present at the time of the search and there is no explanation as to Arthurâ€™s presence or why he was not charged with possessing the liquor.,Analysis
1126,"Matthews further testified that appellant stabbed him in the back and in his side, around his spleen, as a result of which he was taken to a hospital where an anesthetic was administered and where he remained for 8 days.",Facts
2180,"While the state was not mentioned, the evidence shows that the collision occurred on the outskirts of Orange on Highway 90, in Orange County, Highway 90 being â€œa public highway open to the public to travel to and from Beaumont.â€",Facts
2388,"Frank H. Fryer, the husband and injured party, testified: â€œI frightened her because she thought I was goneâ€ and that after she made the statement â€œFrank, donâ€™t kill meâ€ he said: â€œIâ€™m not going to kill you.",Facts
1138,"Neither group got out of their respective automobile, and both parties drove away from the cafe, with Hartwellâ€™s car in the lead.",Facts
2989,"When they turned a flashlight on him, appellant jumped up and started cursing loudly, using very vile language, and grabbed a .22 rifle.",Facts
10,"This Court ruled at the hearing on October 9, 1979 and in one subsequent order on October 14, 1979 as to certain counts.",Facts
2824,The evidence adduced from the seven witnesses testifying on the motion for new trial is summarized as follows:,Facts
319,Defendant maintains that this interpretation is in direct conflict with other provisions of the Government Code.,Facts
1706,"The trial court was careful to exclude testimony as to any statement or declaration of the appellant, but it is contended that the witness was permitted to testify as to acts of the appellant which were in the nature of a confession and might have been used by the state as a criminative fact against him.",Facts
33,Thereafter the transcript shall be open to the public unless the court orders otherwise on its own motion or on motion of a party pending a determination as to whether all or part of the transcript should be sealed.,Facts
1447,The court instructed the jury in his charge on the law of both murder with and without malice and charged the jury on the appellantâ€™s right of self defense against a deadly attack.,Facts
467,The general trend of authority is against an interpretation of repeal by implication.,Analysis
2847,"The judgment nisi entered in the instant case does not comply with the statute, is clearly void and cannot support the final judgment from which appellant prosecutes the appeal.",Analysis
734,"Appellantâ€™s first ground for reversal is that Criminal District Court No. 5 of Harris County, where the case was tried, had no jurisdiction because the indictment was returned into Criminal District Court No. 3 of Harris County, and the cause was never transferred from said Criminal District Court No. 3.",Facts
1692,"The testimony of appellantâ€™s wife, his father and stepmother, and another witness corroborated the testimony of the appellant.",Analysis
2581,Appellant fled the scene prior to the arrival of the ambulance.,Facts
3260,relates to informal as well as formal bills of exception.,Invalid
2030,"â€œMR. BROWN: Yes, we object to any statement made by the defendant after he was placed under arrest.",Facts
1763,They deliberated from twelve to thirteen hours on the matter of punishment alone.,Facts
338,"Also, only unsworn representations of counsel were considered, with no attempt to hear legally admitted evidence.",Facts
2626,"Deem, from the final judgment of Criminal District Court No. 2 of Harris County upon a forfeiture of said recognizance.",Facts
2776,Reliance is had upon Harris v.,Rule/Law/Holding
0,These billings as shown are $25.18 and the installation charge is $35.00.,Facts
1881,"We find the charge of exhibiting â€œa firearm, to-wit: gunâ€ proper.",Conclusion
1106,"It would seem, therefore, that if we have properly decided this case under our Constitution and statutes then it has been properly decided under the Constitution of the United States and the holding in Mapp v. Ohio, supra.",Analysis
1611,The propounding of the question by the district attorney when â€œto his knowledge defendant had not been,Invalid
522,"624, 198 S.W. 2d 98, a conviction for murder, the punishment, 12 years, the jury deliberated approximately eight hours and reported to the court twice that they were deadlocked.",Facts
2980,We overrule the contention that the stolen property and tools recovered were inadmissible.,Conclusion
2304,Appellant was convicted of the offense of sodomy and his punishment assessed at confinement in the penitentiary for 15 years.,Facts
1782,This court then said:,Invalid
1630,The record contains no formal bills of exception and there are no objections to the courtâ€™s charge.,Analysis
3374,The right to see a document or writing does not obtain when such writing is not used by the state before the jury in some way so as to make the contents thereof an issue.,Analysis
2009,â€œAppellant also contends that the information is defective because it does not charge that the act complained of was prohibited or unlawful.,Issue
3068,"Appellant insists that his verified amended answer, in which he challenged the validity of the bond together with his sworn testimony given on the hearing of the verified motion for new",Invalid
2861,The physician further testified that death resulted from the two gun shot wounds in the abdomen.,Facts
2579,Appellant did not testify or offer any evidence.,Facts
2326,"Article 1, Section 3 of the Constitution of Texas and the 14th Amendment to the Constitution of the United States secure to all persons similarly circumstanced equal protection under the laws of this state or any subdivision thereof, and it is a well settled rule in all jurisdictions that a penal ordinance of municipal corporation constitutes state action subject to these fundamental provisions of the state and federal constitutions.",Rule/Law/Holding
216,This is an apparent contradiction.,Others
2504,The prior convictions were stipulated.,Others
1850,We acknowledge without hesitation our duty to follow the Supreme Court of the United States; Davis v.,Invalid
1983,"While this is a case of first impression, we think that Article 815, V.A.C.C.P., allowing appellants to enter into recognizance and to remain on bail, pending appeal, when the punishment assessed does not exceed fifteen years, here controls.",Analysis
1848,Was he pointing it at you?,Facts
912,"He denied that the injured party ever came into the trailer house, that he had had trouble with Anderson the previous day, and that Anderson had threatened to whip him.",Facts
3055,"Appellant contends that Art. 602, supra, under which he was tried and convicted, is unconstitutional because said article, as enacted by the Regular Session of the 56th Legislature, contains more than one subject —his contention being that the definition of acts which constitute a misdemeanor and the definition of acts which constitute a felony cover more than one subject.",Issue
594,"Although the exercise of this discretion is subject to review, it will not be disturbed unless a clear abuse is shown.",Rule/Law/Holding
1098,"It was shown by Nationsâ€™ testimony that he went with appellant to Houston, where appellant said he was going to sell the shells.",Facts
2340,The witness further testified that he did not give the appellant permission to break and enter his house and take any property therefrom.,Facts
2154,"On August 22, 1960, affidavit was made by the commissioner of public welfare of the State of Louisiana in lieu of warrant as prescribed by law, stating that appellant had violated the conditions of his probation and commanding that he be arrested and held as a fugitive from the state, pending extradition and return to the jurisdiction.",Facts
969,His primary contention is that the phrases italicized above are not a sufficient statement of probable cause to comply with the Constitutions of the United States and of this State.,Issue
675,Appellant predicates his appeal upon the contention that the,Invalid
1128,Matthews lost his way and drove onto a dead end street shortly before midnight.,Facts
996,I would take her (prosecutrixâ€™) pajama bottoms off and play with her sexual parts * * * .,Facts
137,"However, assuming that these sections apply to the petitioners, it would seem that the Director conversely has no authority to remove prisoners from the Halfway House Correctional Facility without the express approval of the parole board.",Analysis
3181,"Immediately upon their arrest, appellant and his companion McDade were taken to the courthouse, were placed in separate rooms, and were questioned by different teams of officers.",Facts
412,"The claim is for ""all injuries proximately caused by the negligence... of the Government of Guam, its officers and employees, for injuries arising out of the wrongful arrest and wrongful imprisonment of claimant.. .said wrongful arrest and wrongful imprisonment having occurred on May 1, 1976, and May 2, 1976.""",Issue
1260,"Remaining convinced that we properly disposed of this cause originally, appellantâ€™s motion for rehearing is overruled.",Conclusion
373,"The notice of claim is not a pleading, neither is it a trap for the unwary.",Facts
2303,The testimony of the injured party that he first met the appellant â€œaround,Invalid
349,This matter came before the Court on defendant's summary judgment motion and motion to dismiss.,Facts
1678,The stateâ€™s evidence consists of the testimony of Vice Squad Officer D.,Facts
2386,"The injured party, Frank H. Fryer, left his wife in their home about 7:20 P.M. on the day in question, driving his automo",Invalid
1798,This was also across the road from appellantâ€™s premises and the evidence shows that there was a trail that â€œleads from the road direct straight to the house and to the whisky and direct back to the houseâ€.,Facts
2715,"It is the general rule that where the criminal intent originates in the mind of an accused, the fact that the officers furnish the opportunity for or aid the accused in the commission of a crime constitutes no defense to such a prosecution.",Rule/Law/Holding
2822,The duration or length of time the capsules were under appellantâ€™s control would not determine the question of her possession of the same.,Analysis
2898,"The stateâ€™s further testimony reflects that appellant kicked Officer Trickett across the room, knocking him down; that the officer became violently ill and vomited, not knowing what happened from then on except that the other two officers took him to a hospital, where he spent the rest of the night and the next day.",Facts
3454,"We overrule appellant’s remaining contention, presented by Informal Bill of Exception No. VI, that the court erred in permitting the State to inquire of appellant’s character witnesses if they had heard of certain acts of misconduct on the part of appellant.",Analysis
1650,"The remarks that â€œwe donâ€™t know thatâ€ and â€œthe sole case for the defense has been a character witness,â€ and â€œthis man was sworn in,â€ made in connection with argument relating to whether appellant in fact had an impediment in his speech, or which affected the way he walked, viewed in the light of the certification in the bills of exception, constituted an indirect reference to the appellantâ€™s failure to testify and require reversal.",Analysis
3401,The witness expressed the opinion that from the way appellant “smelled” and from the way he acted appellant was “drunk.”,Facts
1688,The sufficiency of the evidence to sustain the conviction is challenged.,Issue
205,"This being the law, we find merit in appellants' claim of possible prejudice arising from the failure of the Territorial Grand Jury to record all of the proceedings before them.",Others
2645,He admitted signing the statement introduced in evidence but said he signed it because his daughter (the prosecutrix) had been arrested and he was of the impression she was in serious danger; and that the sheriff told him it would be lighter on him if he would sign it.,Facts
3063,"Appellant failed to bring himself under the terms of Art. 666-23a (1), which makes it lawful to transport intoxicants from a place where the sale thereof is legal to a place where the possession thereof is legal.",Rule/Law/Holding
914,"He didnâ€™t want to associate with us, or didnâ€™t want to help us in any way.",Facts
253,"299 U.S. 593, 57 S.Ct.",Invalid
1314,"Some time later, while in San Antonio, she spoke to appellant about the possibilities of securing money and narcotics from deceased.",Facts
759,At Hallâ€™s Drive In appellant and Vaughn each mixed another drink which they consumed.,Facts
936,"He objected thereto on the grounds that he did not read it, and that it was signed under duress.",Facts
959,"He was with another man, and they were carrying some clothes.",Facts
2254,"Here, appellant did not testify, but offered his own application for suspended sentence.",Facts
615,"And, during this pÃ©riod of time, have you had the occasion to serve or handle few Ã³r many people under the influ",Invalid
698,"Appellant testified that the injured party had threatened to kill her and had, shortly before she went to the scene of the shooting with a pistol, put a gun in her stomach and told her not to be causing trouble or he would shoot her.",Facts
2140,Is that how she appeared there that day?,Facts
3201,"In the first statement, appellant admitted going on the two occasions to the service station where the prosecutrix’ husband was employed on the night in question but, in effect, denied going",Facts
274,"Section 6500.13 limits the Government's liability to $100,000.00 (See Decision and Order of February 11, 1980, Paulin v.",Invalid
3446,"We feel that the instant case was correctly disposed of by the trial court, and the judgment is affirmed.",Conclusion
1345,"Testifying as a witness in his own behalf, appellant admitted going to the liquor store on the night in question, but denied that he went inside and shot the deceased.",Facts
2549,"98, 267 S.W. 2d 557, and the facts in this case are identical with the reported facts in Montelloâ€™s case.",Analysis
3066,"Appellant further asserts that we were in error in holding that the court did not err in failing to respond to his demand that he be shown a certain document, not then in the possession of the witness, but from which he had refreshed his memory at some undisclosed time in the past.",Issue
2374,He stated that when he placed the unit in the hallway it required the help of another man to lift it.,Facts
3048,Appellant again urges his contention that the evidence is insufficient to support the conviction.,Issue
2804,"The burglary was committed on the night of October 9, 1959.",Facts
3040,"After the man left, the prosecutrix took her baby and went to a neighbor’s house across the street.",Facts
1712,The variance in the instant case between the original indictment and the copy was not of such a material nature as to mislead the appellant.,Analysis
1821,"Trial de novo in the County Court resulted in a conviction with punishment assessed at a fine of $10, from which no appeal lies.",Facts
2791,Such testimony was sufficient to show that the automobile was of the value of $50 and over as found by the jury in their verdict.,Analysis
2089,Appellant objected to anything he said on the ground he was under arrest; and the record shows that he was under arrest at the time.,Facts
2969,"We find no merit in appellantâ€™s contention that, because the order transferring the cause from Criminal District Court No. 2 to Criminal District Court did not recite that it was transferred with consent of the court, the order was void by reason of the provision of Article 52-158b, sec.",Analysis
1029,In submitting the issue of appellantâ€™s guilt to the jury the court instructed as follows:,Invalid
788,"Bill of Exception No. 1 complains of the refusal of the trial court to permit the introduction into evidence of a private club permit issued by the Administrator of the Texas Liquor Control Board on March 13, 1961.",Rule/Law/Holding
2853,"The next witness, J. W. Mann, testified that his first ballot was for forty years; that he heard the Selby murder case mentioned only after they (the jury) had cast several ballots and had found appellant guilty; that Selby had been given a life sentence â€œand could get out in 7 or 8 yearsâ€; that before the jury arrived at a unanimous sentence of life there was a discussion as to the meaning of â€œlifeâ€ being seven or eight years.",Facts
671,Appellant next insists that the court erred in permitting the State to call Officer Jarke to testify after it had been stipulated before the jury as to what his testimony would be.,Issue
2539,â€œBut it has never been held that such an omission in the charge is fundamental error which is necessarily fatal to the conviction.,Facts
2474,The evidence shown by the statement of facts is insufficient to sustain the conviction.,Analysis
520,"605, 91 S.W. 2d 363, a murder case in which the evidence revealed that appellant killed the deceased because deceased had been having sexual intercourse with appellantâ€™s wife, this Court held that statements in the confession which merely showed the mental attitude of appellant at the time of the homicide did not require giving the special charge on exculpatory statements.",Rule/Law/Holding
1459,"The deceased left the Sibony Night Club in company with the band leader and operator Ponce after closing time, which was 1:15 on Sunday morning.",Facts
193,Not only were,Invalid
3222,Judgment is affirmed.,Conclusion
2412,"Without giving any notice, the appellant did not return the car on January 16, and January 18 manager Edens of Hertz began a search for the car only to learn that appellant had been seen in Fort Worth, and on January 20 he filed a complaint in El Paso charging appellant with the theft of the car.",Facts
727,"Appellantâ€™s confession was introduced in evidence without objection, in which he related how Brady Box had purchased his house, paying $70.00 in cash and giving him a check for $30.00 which was returned unpaid, and his difficulty in collecting from Brady Box thereafter and continuing:",Facts
1406,"The area was shown to be dry, and the prior convictions alleged were proved.",Facts
2451,"On July 5, 1960, hearing was had upon the report of his probation officer, and order was entered finding that appellant had violated said provisions and revoking his probation.",Facts
2620,By entry of judgment nunc pro tunc the original judgment has been reformed to correctly reflect that the appellant plead not guilty in the trial court rather than guilty.,Facts
112,This Court finds that Rule 408 creates an exception for the admissibility of evidence otherwise inadmissible if offered for purposes other than to prove liability.,Analysis
2248,"The suspended sentence statute, Art. 776, C.C.P., provides, in part, that in no case shall sentence be suspended except when the proof shall show that the defendant has never before been convicted of a felony in this state or in any other state.",Rule/Law/Holding
3184,"In disposing of the last contention made by appellant, being that the wine was found as a result of an unauthorized search, we think that the officers had probable cause to search appellant’s pickup truck.",Analysis
1732,There are no formal bills of exception or objections to the court's charge.,Facts
1373,"The Stateâ€™s evidence is undisputed that appellant came into the drive-in grocery store where Ellis Dodson, the complaining witness, was working, on September 4, 1960; that the store belonged to Dodsonâ€™s son; that appellant ordered a cold drink; that at this time there were other persons in the store and the other persons left and appellant said, ""Give me another of the sameâ€; that Dodson went to the icebox or refrigerator to get the cold drink and when he turned around he saw appellant standing by him pointing a gun at him; that while pointing the gun at him appellant told Dodson to give him his purse; that at this time appellantâ€™s gun was pointed at Dodsonâ€™s body; that Dodson was in fear of losing his life or of suffering serious injury at the hand of the appellant; that Dodson gave appellant his personal money, about $146.00, out of his purse and appellant put the money in his pocket; that appellant said, â€œLetâ€™s go to the cash registerâ€; that when Dodson got to the cash register appellant said, â€œOpen it upâ€; that appellant said, â€œGive me the money,â€",Facts
1759,These two requested charges were evidentiary in nature and upon the weight of the evidence.,Analysis
